品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
tcl,不选,无效能等级,高清(1366×768),4K超清,合资品牌,不选,新品电视,线下同款,4
MAXHUB,78英寸及以上,无效能等级,高清(1366×768),商业显示,国产品牌,3m-3.5m(56-65英寸),新品电视,线下同款,4
VID^^,70-75英寸,无效能等级,高清(1366×768),游戏电视,国产品牌,2m以下(≤32英寸),京品电视,线上专供,3
Panasonic,58-60英寸,无效能等级,高清(1366×768),游戏电视,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
VIH,55英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,48-50英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,39-45英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
长虹,32英寸及以下,无效能等级,高清(1366×768),激光电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,3
LG,70-75英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线下同款,4
VIH,58-60英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,55英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,39-45英寸,无效能等级,全高清(1920×1080),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
创维,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
华为,65英寸,三级效能,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
konka,32英寸及以下,无效能等级,全高清(1920×1080),曲面,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
长虹,不选,无效能等级,高清(1366×768),激光电视,不选,2m以下(≤32英寸),不选,线上专供,3
小米,78英寸及以上,无效能等级,高清(1366×768),人工智能,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
小米,70-75英寸,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,2
VID^^,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
tcl,55英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
酷开,48-50英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
小米,39-45英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,70-75英寸,无效能等级,4k超高清(3840×2160),OLED,商业显示品牌,不选,京品电视,线上专供,4
菲利普,70-75英寸,不选,不选,教育电视,不选,3m-3.5m(56-65英寸),新品电视,线上专供,5
sharp,70-75英寸,无效能等级,高清(1366×768),超薄,国产品牌,2m以下(≤32英寸),新品电视,不选,3
Hisense,65英寸,无效能等级,不选,商业显示,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
Hisense,55英寸,不选,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
sony,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
tcl,32英寸及以下,一级效能,4k超高清(3840×2160),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
酷开,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
不选,78英寸及以上,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,58-60英寸,无效能等级,全高清(1920×1080),商业显示,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,4
长虹,55英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,3
Hisense,48-50英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2.5m-3m(46-55英寸),京品电视,线上专供,3
三星,78英寸及以上,无效能等级,不选,曲面,商业显示品牌,不选,新品电视,线下同款,4
菲利普,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),不选,线上专供,1
VIH,58-60英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,48-50英寸,无效能等级,高清(1366×768),游戏电视,合资品牌,2m以下(≤32英寸),新品电视,线上专供,2
tcl,39-45英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,58-60英寸,三级效能,8k超高清(7680×4320),OLED,不选,不选,新品电视,不选,6
tcl,55英寸,三级效能,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
Panasonic,32英寸及以下,无效能等级,8k超高清(7680×4320),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,32英寸及以下,无效能等级,全高清(1920×1080),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,78英寸及以上,三级效能,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,48-50英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,39-45英寸,二级效能,高清(1366×768),全面屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
VIH,65英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
酷开,48-50英寸,无效能等级,4k超高清(3840×2160),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
VID^^,32英寸及以下,一级效能,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
Panasonic,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
长虹,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
VIH,55英寸,三级效能,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
创维,70-75英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
华为,78英寸及以上,不选,8k超高清(7680×4320),大屏,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,5
Hisense,32英寸及以下,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,1
长虹,不选,无效能等级,高清(1366×768),量子点,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线下同款,3
sony,58-60英寸,无效能等级,全高清(1920×1080),不选,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
VIH,55英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,不选,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
tcl,32英寸及以下,无效能等级,高清(1366×768),4K超清,国产品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
酷开,78英寸及以上,二级效能,全高清(1920×1080),激光电视,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,5
VIH,32英寸及以下,不选,高清(1366×768),商业显示,合资品牌,2m以下(≤32英寸),新品电视,线上专供,3
三星,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,65英寸,无效能等级,高清(1366×768),游戏电视,国产品牌,不选,新品电视,线上专供,3
小米,55英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
酷开,55英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
三星,48-50英寸,无效能等级,高清(1366×768),OLED,国产品牌,2m以下(≤32英寸),京品电视,线上专供,3
sony,39-45英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
VIH,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),不选,线上专供,2
Hisense,78英寸及以上,三级效能,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
Panasonic,32英寸及以下,无效能等级,高清(1366×768),4K超清,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,32英寸及以下,二级效能,高清(1366×768),曲面,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
Panasonic,70-75英寸,无效能等级,高清(1366×768),OLED,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,3
长虹,65英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,58-60英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,3.5m以上(70英寸以上),新品电视,不选,3
sharp,48-50英寸,无效能等级,高清(1366×768),大屏,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,4
sharp,32英寸及以下,无效能等级,高清(1366×768),全面屏,商业显示品牌,不选,新品电视,线下同款,3
VID^^,32英寸及以下,二级效能,8k超高清(7680×4320),超薄,合资品牌,不选,新品电视,线上专供,5
MAXHUB,58-60英寸,无效能等级,4k超高清(3840×2160),4K超清,国产品牌,2m以下(≤32英寸),新品电视,线上专供,4
konka,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
菲利普,78英寸及以上,三级效能,高清(1366×768),全面屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,5
华为,65英寸,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,55英寸,无效能等级,高清(1366×768),大屏,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
菲利普,39-45英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,1
haier,39-45英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
小米,65英寸,无效能等级,高清(1366×768),人工智能,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
konka,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),不选,线上专供,1
sharp,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
三星,32英寸及以下,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,1
Hisense,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,1
三星,55英寸,无效能等级,4k超高清(3840×2160),人工智能,商业显示品牌,不选,新品电视,线上专供,4
tcl,48-50英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,32英寸及以下,二级效能,高清(1366×768),教育电视,合资品牌,3.5m以上(70英寸以上),新品电视,线下同款,6
konka,32英寸及以下,二级效能,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,48-50英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,不选,新品电视,线上专供,2
酷开,不选,三级效能,4k超高清(3840×2160),商业显示,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,4
菲利普,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,65英寸,无效能等级,8k超高清(7680×4320),不选,商业显示品牌,不选,新品电视,线上专供,3
菲利普,39-45英寸,一级效能,高清(1366×768),不选,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
创维,55英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
不选,55英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
Hisense,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
sharp,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
VIH,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,39-45英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
长虹,32英寸及以下,无效能等级,高清(1366×768),智慧屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
菲利普,32英寸及以下,无效能等级,全高清(1920×1080),4K超清,商业显示品牌,不选,新品电视,线上专供,3
MAXHUB,32英寸及以下,无效能等级,8k超高清(7680×4320),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
sony,70-75英寸,无效能等级,高清(1366×768),智慧屏,互联网品牌,2.5m-3m(46-55英寸),京品电视,线上专供,5
菲利普,65英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
tcl,58-60英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
Hisense,32英寸及以下,无效能等级,4k超高清(3840×2160),大屏,合资品牌,2m以下(≤32英寸),新品电视,线上专供,2
